segment_id,start_imu_index,end_imu_index,start_timestamp,end_timestamp,frame_count,max_NIS,median_NIS,max_residual_norm,median_residual_norm,median_R_x,median_R_y,median_R_z,median_P_pred_theta_x,median_P_pred_theta_y,median_P_pred_theta_z,median_S_xx,median_S_yy,median_S_zz,median_abs_standardized_x,median_abs_standardized_y,median_abs_standardized_z,median_K_theta_x,median_K_theta_y,median_K_theta_z,median_abs_K_bg_x,median_abs_K_bg_y,median_abs_K_bg_z,median_omega_hat_norm
1,489,490,1786181236.5255215,1786181236.52987,2,13.911702507317214,13.05825498791494,0.001290784383242249,0.0012501673405096356,1.14209e-07,6.434706e-08,7.21049e-08,8.134801353418944e-09,2.925027192169404e-09,4.84406431649212e-09,1.2234380135341893e-07,6.72720871921694e-08,7.694896431649213e-08,3.5110539933649294,0.21493326015908032,0.8187324037412503,0.06649124920052418,0.04348052350700381,0.0629515050745164,0.03024516673517113,0.023510208104271034,0.030321060055816845,0.0023657151155136707
2,569,577,1786181236.9255219,1786181236.9655023,9,24.528570162805224,17.254316467393153,0.00138328319366305,0.001152933988181816,1.12286e-07,7.057285e-08,7.326631e-08,8.077254593506968e-09,2.9031292853894632e-09,4.81084823447701e-09,1.2036325459350699e-07,7.347597928538947e-08,7.8077158234477e-08,1.1403255104376284,3.9845610406708323,0.27793203686534085,0.06710731294745202,0.03951127039590866,0.06161658982918755,0.02791669559931294,0.023306369502633217,0.028576135269252012,0.00645832577218702
3,749,749,1786181237.8255785,1786181237.8255785,1,11.597946196329795,11.597946196329795,0.0012161852234164792,0.0012161852234164792,1.348847e-07,8.557334e-08,8.97841e-08,8.543256326433926e-09,3.3051276824426058e-09,5.079827099977441e-09,1.4342795632643393e-07,8.88784676824426e-08,9.486392709997744e-08,2.826672182046594,1.236397442020547,1.4419379723405195,0.059564791580392254,0.037187046167249785,0.053548564290202605,0.021701866286348723,0.02287065904537251,0.02355774204881845,0.004754051447227855
4,1629,1629,1786181242.2255044,1786181242.2255044,1,11.708075835402292,11.708075835402292,0.0010340222075988837,0.0010340222075988837,1.149776e-07,7.505603e-08,8.240674e-08,8.18831933494184e-09,2.942492491365125e-09,4.5277204314270386e-09,1.2316591933494184e-07,7.799852249136512e-08,8.693446043142704e-08,1.8483614011599134,2.846747974544126,0.43320865873208886,0.06648202180338993,0.037724977297495126,0.0520819984145751,0.020539672470061335,0.023802653129529693,0.02194518865722558,0.0061693200039021
5,1709,1711,1786181242.6255033,1786181242.635512,3,16.580686571962342,14.766565635064653,0.0014229977068136838,0.00134267894853208,1.193635e-07,7.844836e-08,9.914923e-08,8.463704949927832e-09,3.260382109243638e-09,5.13517401168098e-09,1.2782720494992783e-07,8.170874210924364e-08,1.0428440401168097e-07,3.4905214826401947,1.0163938776717256,1.2448990481109088,0.06621207866498628,0.03990248809178926,0.049242013308070445,0.02039085227590241,0.025047612458836292,0.02069184320752188,0.004208945570477497
6,1829,1830,1786181243.2255747,1786181243.2296028,2,13.206348217338759,12.364992933184446,0.0012493459921004205,0.0012086373554154755,1.137342e-07,7.18013e-08,7.033593e-08,8.082585465996285e-09,3.2509959193814563e-09,4.962911677550356e-09,1.218167854659963e-07,7.505229591938146e-08,7.529884167755036e-08,3.3779331112583932,0.057976350036900104,0.9676914536062649,0.06635014539661362,0.04331634052661647,0.06590907162639764,0.020394892408376518,0.02718007850049238,0.027714819478735286,0.006739788713039864
7,2089,2092,1786181244.5253417,1786181244.5397387,4,15.247855770813462,13.413792709896748,0.0011753221954648142,0.0011015403139097812,1.472401e-07,8.546541e-08,8.352397e-08,8.199538527254781e-09,3.1889141022056146e-09,4.796959635663924e-09,1.554396385272548e-07,8.865432410220561e-08,8.832092963566392e-08,0.6246270555492066,3.0620341373116853,1.9073167135072473,0.05275021224497099,0.03597018931657123,0.054312799992831284,0.016161781055435955,0.02255480865911129,0.02285992096734485,0.005603295976625061
8,2109,2111,1786181244.625579,1786181244.6355119,3,13.729349948237227,12.266228778009722,0.0010900724665619907,0.0010342648724602304,1.21662e-07,7.678473e-08,8.02664e-08,8.934129321919701e-09,3.3120329818044633e-09,4.984737716214985e-09,1.305961293219197e-07,8.009676298180445e-08,8.525113771621498e-08,1.1818061271695415,2.8314622195562316,1.6796317435047226,0.0684103684172155,0.04135039742024678,0.05847121632978505,0.020922766093366463,0.02591232857046761,0.024596431472429185,0.008131721703578648
9,2129,2132,1786181244.7255063,1786181244.7397513,4,15.671691814833867,13.46944825182159,0.001201327628611273,0.0011077653562485887,1.339009e-07,8.028261e-08,8.050745e-08,8.454437436774368e-09,3.218751464063638e-09,4.912830514314349e-09,1.4235533743677438e-07,8.350136146406364e-08,8.542028051431435e-08,1.2391880203723158,2.296629804740843,2.578900505339981,0.059389670338690734,0.03854728920377784,0.05751361560078809,0.018167222767068406,0.024164384038891363,0.024192072506807966,0.0046379161294162665
10,2349,2350,1786181245.8253083,1786181245.8297138,2,13.750581395558418,13.038042899616453,0.0010288542320964905,0.0010005118970193583,1.080313e-07,6.795186e-08,7.391478e-08,8.218955431796141e-09,3.0957316037354597e-09,4.951860168057005e-09,1.1625025543179614e-07,7.104759160373545e-08,7.8866640168057e-08,1.1371623536592752,3.093526249386761,1.4709024599425666,0.07070030128289723,0.04357261782200454,0.06278760307029696,0.021622133567409337,0.0274180019889659,0.02640730764264442,0.004957273160691428
11,2629,2630,1786181247.2256281,1786181247.229643,2,13.319215210262563,12.49923112654638,0.0012223290580172152,0.0011828469307584278,1.159188e-07,6.446027e-08,8.18318e-08,8.162930294811105e-09,3.006312988017124e-09,4.735340139601151e-09,1.240817302948111e-07,6.746658298801712e-08,8.656714013960116e-08,2.912708997208877,0.031181664334598277,2.0002029465178794,0.06578652437763388,0.044559968103902795,0.05470132077805477,0.020107309722713403,0.0281421045695054,0.02305728232937193,0.004088052911429586
12,2649,2654,1786181247.325507,1786181247.3495917,6,21.970323271161373,16.554478044724398,0.0016371533445185603,0.0014195440033877718,1.25958e-07,6.725336e-08,8.060501e-08,8.228628810585349e-09,2.9298750528294096e-09,4.925734630771309e-09,1.3418662881058534e-07,7.018323505282941e-08,8.55307446307713e-08,3.591603869107046,1.3385410471554633,1.3602504388738854,0.06132223686467415,0.0417460780191892,0.05759015527138203,0.018742244532961087,0.026360144673626865,0.024238900798097207,0.006280001294454038
13,2689,2690,1786181247.525529,1786181247.52992,2,13.593396603624061,12.98726149583896,0.0010011678591067379,0.0009778764478539812,1.134831e-07,6.376509e-08,7.600183e-08,8.089150260380393e-09,2.8178977251234617e-09,4.806640354940637e-09,1.215722502603804e-07,6.658298772512345e-08,8.080847035494064e-08,0.2587797305488655,2.5896925641241144,2.491286899681303,0.06653771821436376,0.0423215816598945,0.05948182882793873,0.020334063556756776,0.026757454874561153,0.025030166067744358,0.004024747078717545
14,2829,2829,1786181248.2255287,1786181248.2255287,1,12.241110113850468,12.241110113850468,0.0012025713950034602,0.0012025713950034602,1.134823e-07,6.600717e-08,7.381984e-08,8.09484871133359e-09,2.903272445083788e-09,4.5162925028018405e-09,1.215771487113336e-07,6.891044244508379e-08,7.833613250280184e-08,3.359561044583667,0.2892234087953769,0.933164663715386,0.06658199173683649,0.04213109569448518,0.0576527377358169,0.020350066866190977,0.026654608999208986,0.02431255364065706,0.0020540678598490766
15,3089,3090,1786181249.5255876,1786181249.5297124,2,13.366054233847905,12.73879085862676,0.0009988192377377552,0.0009738370430229075,1.154787e-07,6.824551e-08,8.110422e-08,8.258781043790445e-09,2.9246130497253835e-09,4.4384240583248765e-09,1.2373748104379043e-07,7.117012304972538e-08,8.554264405832488e-08,0.13554985844331174,3.136544753229569,1.6950159286698798,0.06674416940614732,0.0410932550773822,0.05188551395569449,0.02038515724543878,0.02596769506637774,0.02188677746150359,0.007398507049073303
16,3249,3250,1786181250.3255234,1786181250.3299394,2,13.12132542670303,12.566456057285539,0.001100687236430052,0.0010714578068780987,1.349219e-07,6.759398e-08,7.879518e-08,8.63076602331773e-09,2.941692365765454e-09,4.702175918922613e-09,1.4355266602331773e-07,7.053567236576545e-08,8.34973559189226e-08,1.757902116733604,2.581981687736672,1.6734508174121356,0.06012261981826167,0.041705023058679125,0.05631525772495817,0.01834216266304974,0.026332574995173812,0.02371720797173605,0.004712822356808515
17,3729,3731,1786181252.7255256,1786181252.7355194,3,14.368687472454727,12.733035130258234,0.0011692981426503633,0.0010981725664634694,1.268736e-07,6.709894e-08,7.704032e-08,8.597326852256171e-09,2.8964650158203996e-09,4.967841215603249e-09,1.3547092685225618e-07,6.99954050158204e-08,8.200816121560325e-08,1.9392823250447067,1.799469907070402,2.394601822879174,0.06346252330060653,0.041380787990105326,0.06057740036652234,0.01936902409157854,0.026134456645950738,0.02548562187886337,0.004813200983964559
18,3829,3832,1786181253.2255254,1786181253.2397127,4,14.672037270078077,13.21106900861841,0.0010856840435162875,0.0010266629878283723,1.235615e-07,7.248258e-08,8.166484e-08,8.711895044106207e-09,3.0065465448620845e-09,4.8696111278866424e-09,1.322733950441062e-07,7.548912654486207e-08,8.653445112788664e-08,0.9329000053823765,3.4120588793602846,0.8350016570102823,0.06586275456510171,0.03982754421845315,0.05627365427754284,0.020086614372832275,0.025103872566496068,0.023682401053404974,0.005085095163770658
19,3889,3894,1786181253.5255327,1786181253.54985,6,21.32109135259368,15.793863968395044,0.0016256614393711762,0.0013913085568435142,1.322378e-07,6.653097e-08,7.355294e-08,8.607554262913128e-09,2.9633158843412745e-09,4.77383825856384e-09,1.4084535426291313e-07,6.949428588434128e-08,7.832677825856385e-08,3.4039210820441737,1.6690553488628757,1.1868340900281096,0.061113509543637756,0.042641127770976034,0.060947697084368264,0.018647717295692406,0.026903987967395942,0.025650605847694047,0.0047012703284181005
20,4209,4210,1786181255.1255324,1786181255.1297867,2,13.336275968762397,12.614746431774742,0.0012040366450968328,0.0011700085967926536,1.167967e-07,6.820112e-08,8.503577e-08,8.135910773680649e-09,2.9005597080061786e-09,4.574682078239842e-09,1.2493261077368065e-07,7.110167970800617e-08,8.961045207823984e-08,2.6682850994879006,0.807177833015711,2.1984211114417707,0.06512230093107332,0.040794524255672086,0.05105076329314166,0.01989532513985954,0.02576284951251026,0.021509858762528825,0.0029400684178208887
21,4429,4430,1786181256.2255354,1786181256.229794,2,13.729482889664062,13.02518137945231,0.0011170130974168112,0.0010841415542859783,1.19359e-07,6.256745e-08,7.950893e-08,8.180427297552684e-09,2.9615673001073396e-09,4.5369601270933365e-09,1.275394272975527e-07,6.552901730010733e-08,8.404589012709333e-08,2.2787343607087585,2.792700881790039,0.1507485496622648,0.06414030327823789,0.04519470189650332,0.05398193805782997,0.01959376861490694,0.028510290130218892,0.02276892909028139,0.0031651815481989294
22,4669,4673,1786181257.4255292,1786181257.4455943,5,19.867496337958258,15.863239915871365,0.0013190514683447067,0.0011735377959546213,1.178495e-07,6.757731e-08,7.173985e-08,8.113541125861289e-09,3.0306921458524274e-09,4.5559691662153155e-09,1.2596304112586128e-07,7.060800214585243e-08,7.629581916621532e-08,1.891771412633627,1.4052619302198561,3.210873256523943,0.06441207715739744,0.04292278569554617,0.059714532407505204,0.019679633884568604,0.027063009781940588,0.025179086691264077,0.005287378313647667
23,4689,4691,1786181257.5255337,1786181257.5355275,3,13.629329660184558,12.360510894404825,0.0011280122875620083,0.0010712291406735313,1.144652e-07,7.459604e-08,7.68967e-08,8.21922392471413e-09,2.997260053680662e-09,4.645995868347677e-09,1.2268442392471411e-07,7.759330005368066e-08,8.154269586834768e-08,1.9706759715429745,2.2348042859870003,1.8661611558355031,0.06699484465458128,0.03862782028623906,0.0569762358066111,0.020466786286239092,0.024354615002126417,0.02401895525771457,0.002504084191599604
