rank,imu_index,timestamp,pose_index,dt,NIS,residual_norm,r_theta_x,r_theta_y,r_theta_z,standardized_diag_x,standardized_diag_y,standardized_diag_z,R_x,R_y,R_z,P_pred_theta_x,P_pred_theta_y,P_pred_theta_z,S_xx,S_yy,S_zz,rho_xy,rho_xz,rho_yz,K_theta_x,K_theta_y,K_theta_z,K_bg_x,K_bg_y,K_bg_z,omega_hat_norm,bg_x,bg_y,bg_z,delta_bg_per_frame_x,delta_bg_per_frame_y,delta_bg_per_frame_z
1,19369,1786181330.9256518,19340,0.0058019161224365234,1549.0116660738613,0.009230055556942614,0.0010296053106802015,-0.003623659437295466,0.008426323680643052,4.077455776313475,-11.577983257814603,37.39408194127184,5.791453e-08,9.448351e-08,4.668211e-08,5.847631229037126e-09,3.4720100656896073e-09,4.095297609492412e-09,6.376216122903713e-08,9.79555200656896e-08,5.0777407609492417e-08,0.00020905729064707134,6.996165388154136e-06,1.5581812232029588e-06,0.09171001393829634,0.035444719539388436,0.0806519631445065,-0.028189164304677564,-0.02206770048360621,-0.03414416268908631,0.08732145482343034,-0.00030347873705747585,0.006059036885227673,0.020324216053572854,-2.5969338223008176e-05,8.062761216294945e-05,-0.000287697730195758
2,19370,1786181330.9299188,19341,0.004266977310180664,1335.3362160320562,0.008585314824547345,0.0008839360708937477,-0.0034871102003539395,0.007795277423527198,3.5029151494777078,-11.142459271920115,34.62508976378861,5.791453e-08,9.448351e-08,4.668211e-08,5.762452924842833e-09,3.4585499185034655e-09,4.003109965584037e-09,6.367698292484283e-08,9.794205991850346e-08,5.068521996558404e-08,0.0001852094812214824,5.268797357727767e-06,1.7857327472631293e-06,0.0904950371694027,0.03531217007335461,0.07897982817984413,-0.02781847669322392,-0.0219890611778685,-0.03343645703402451,0.07284200903491743,-0.00032522811422878544,0.006136264126049859,0.020063582612553397,-2.174937717130959e-05,7.7227240822186e-05,-0.00026063344101945676
3,19371,1786181330.9355078,19342,0.005589008331298828,1157.2223922768953,0.008007643400236074,0.0009136949044482956,-0.0033146813498611946,0.007231901685989096,3.6188737107708002,-10.590331774292721,32.12410581717446,5.791453e-08,9.448351e-08,4.668211e-08,5.8318534172993825e-09,3.4800226197854705e-09,3.998628120481572e-09,6.374638341729939e-08,9.796353261978547e-08,5.0680738120481574e-08,0.0001660268735404063,3.303564580123773e-06,1.2972650240073247e-06,0.0914852185743793,0.03552362723282421,0.07889837970370144,-0.028125636634094522,-0.022125099127188637,-0.033402303375135514,0.05793868102519402,-0.0003483138907107509,0.0062100965537363615,0.019822029172494055,-2.3085776481965477e-05,7.383242768650277e-05,-0.00024155344005934165
4,17849,1786181323.325513,17820,0.00561976432800293,1020.0292005210977,0.007162210089429302,0.0013074010734395118,0.002529694112877097,-0.006571803671258527,4.7184192498053035,11.285829529117233,-29.50029668236335,7.04692e-08,4.772647e-08,4.588161e-08,6.306647719024783e-09,2.5157762845905064e-09,3.74520391390184e-09,7.677584771902479e-08,5.0242246284590504e-08,4.962681391390184e-08,-0.0009840365067600206,2.382083725322962e-05,2.5027755413215945e-05,0.08214275229732128,0.05007200564788482,0.0754673444394623,-0.025201575055582914,-0.03181064499464402,-0.03201350639651976,0.4832707042729735,0.0009068887979568832,-0.0027819138752061385,0.013987142072385942,-2.945493760370555e-05,-8.20921745289453e-05,0.00021029034074121662
5,19372,1786181330.9397779,19343,0.004270076751708984,994.0668606077436,0.007444176312702119,0.0007007446778867456,-0.0032202099995388557,0.006674950593815559,2.777230683857796,-10.289227559398775,29.672825957216048,5.791453e-08,9.448351e-08,4.668211e-08,5.749731593150514e-09,3.4661299480571673e-09,3.921126264704468e-09,6.366426159315052e-08,9.794963994805716e-08,5.060323626470447e-08,0.00014573602988432398,2.4124037985350055e-06,1.822173820114266e-06,0.09031331266372483,0.03538683697915848,0.07748765797836571,-0.027767876299065887,-0.022043365647143338,-0.032806464382733554,0.050945737098486064,-0.00036532530880290523,0.006281477857617366,0.01960306125842106,-1.7011418092154312e-05,7.138130388100426e-05,-0.00021896791407299485
6,19289,1786181330.5256524,19260,0.0057773590087890625,916.226630854361,0.007032326546887091,0.000731059591389627,-0.002053656788802446,-0.006685930176848677,3.0070109761297434,-7.014723841205665,-29.29041069899169,5.353463e-08,8.226051e-08,4.817258e-08,5.571909292889159e-09,3.450097624386938e-09,3.9316222751616146e-09,5.910653929288915e-08,8.571060762438693e-08,5.210420227516162e-08,0.0011491203151981575,3.790987541329566e-06,-1.9025085217530683e-06,0.09426771838461445,0.04025159891423152,0.07545691331250577,-0.028927339235893166,-0.02496523980103495,-0.03196273712170497,1.296876505572898,0.0005200222742114619,0.0015893623038200618,0.020490013584681024,-1.7659406018093876e-05,5.3222345634695465e-05,0.00021367159978349926
7,17850,1786181323.3299026,17821,0.004389762878417969,884.7932232518758,0.0066676418326703886,0.001208931474162907,0.002364193392129985,-0.006116087140007356,4.364546321862128,10.549366441221323,-27.465352168236052,7.04692e-08,4.772647e-08,4.588161e-08,6.253725542917027e-09,2.497754767634827e-09,3.706434797278687e-09,7.672292554291703e-08,5.0224224767634824e-08,4.958804479727869e-08,-0.0009538676314364611,2.667627060677663e-05,2.568201606138208e-05,0.08150968346183242,0.04973120686359719,0.07474452258520366,-0.02500887020444596,-0.03160374641015629,-0.03170776195498142,0.4569834900572447,0.0008798641137031699,-0.002858120348154422,0.014180977255435212,-2.702468425371332e-05,-7.62064729482835e-05,0.00019383518304927003
8,17829,1786181323.2256417,17800,0.005738973617553711,882.2118846560309,0.00668838895106201,-0.0010965614947054743,0.002911332410002947,-0.005920831296995727,-4.017213042160008,12.895957415536424,-26.45652629966778,6.795671e-08,4.840132e-08,4.622736e-08,6.553580309813875e-09,2.5641941183551126e-09,3.856723493928867e-09,7.451029030981387e-08,5.096551411835511e-08,5.008408349392887e-08,-0.0017896945888117373,-1.8967996055312354e-05,1.793127343859952e-06,0.08795245048203726,0.050309295065701136,0.07700497260015567,-0.026922770965119584,-0.03163483607743045,-0.032653989763956996,0.5547443545432793,0.0006711404877940874,-0.0016923855809402803,0.011862237778287345,3.5618377601207094e-05,-9.002610929473211e-05,0.00019338023683933628
9,19349,1786181330.825662,19320,0.005743503570556641,869.3230825285045,0.007610918432593998,0.0010598312878028454,-0.004048885712435337,0.006356835810104761,4.194484012435085,-13.168634659569877,26.042728173822915,5.793961e-08,9.113647e-08,5.562568e-08,5.903845648521631e-09,3.397857288762442e-09,3.95549073852222e-09,6.384345564852164e-08,9.453432728876244e-08,5.958117073852222e-08,0.0008292360597349618,8.921880625497635e-06,4.333190278882445e-06,0.09247315551389808,0.03594244245523258,0.06638826803878328,-0.028332000799720865,-0.02224093570490005,-0.028130205289052888,0.42256142579061284,-8.224402595649819e-05,0.0048333131571245665,0.022711592685611792,-2.3280750730051496e-05,9.214439064262041e-05,-0.0001787875914278647
10,19373,1786181330.945679,19344,0.0059010982513427734,865.5108517542086,0.006949644315475719,0.0007723730536682865,-0.003002188422379227,0.00621995664407102,3.0586002775811787,-9.59118169259221,27.643383302127816,5.791453e-08,9.448351e-08,4.668211e-08,5.854348691709631e-09,3.495186013493912e-09,3.946070937433609e-09,6.376887869170963e-08,9.797869601349391e-08,5.062818093743361e-08,0.00013108084444152322,-1.2949475475676926e-06,9.390565449549805e-07,0.09180571803397967,0.03567290168360434,0.07794218287618725,-0.028228945014947198,-0.022225410356222716,-0.033000196707599634,0.05377060190469008,-0.0003849102928356186,0.006348544579419157,0.019397804492752257,-1.958498403271334e-05,6.706672180179125e-05,-0.00020525676566880355
