rank,imu_index,timestamp,pose_index,dt,NIS,residual_norm,r_theta_x,r_theta_y,r_theta_z,standardized_diag_x,standardized_diag_y,standardized_diag_z,R_x,R_y,R_z,P_pred_theta_x,P_pred_theta_y,P_pred_theta_z,S_xx,S_yy,S_zz,rho_xy,rho_xz,rho_yz,K_theta_x,K_theta_y,K_theta_z,K_bg_x,K_bg_y,K_bg_z,omega_hat_norm,bg_x,bg_y,bg_z,delta_bg_per_frame_x,delta_bg_per_frame_y,delta_bg_per_frame_z
1,16209,1786181315.1256256,16180,0.005747318267822266,750.2376891539968,0.010371172086740271,-8.250570664989407e-05,0.002392716227997299,-0.010091051100526105,-0.19536056032818824,6.066207706641701,-26.709573983893364,1.675134e-07,1.506696e-07,1.362073e-07,1.0845256430820817e-08,4.908275722012703e-09,6.5304638100669595e-09,1.7835865643082082e-07,1.555778757220127e-07,1.4273776381006695e-07,-0.0005453087191192216,1.1588136746275495e-05,2.176807013270621e-06,0.060805608279858515,0.031548386267325916,0.04575147891357555,-0.018394892482252536,-0.018906714775179002,-0.01903770554016307,0.11457963511700733,0.002243444504014074,-0.0026251836854790165,0.013071743572074638,4.550205102434469e-06,-4.5189834701026346e-05,0.00019209861012629663
2,16189,1786181315.0256262,16160,0.005871772766113281,662.3090199065764,0.009930112814867262,-0.0006114562909068101,0.003294286692773207,-0.009347777110421432,-1.3204853647680845,7.8567021598159235,-24.471670643801744,2.034469e-07,1.708896e-07,1.392915e-07,1.0972289831928207e-08,4.9198455740329534e-09,6.619978782247504e-09,2.1441918983192819e-07,1.7580944557403294e-07,1.459114787822475e-07,-0.0011945149028876564,1.3776559444991373e-06,-8.099069327906327e-07,0.05117079095529755,0.027982579212257667,0.04536982859156361,-0.015423411029824427,-0.01652987668994903,-0.018902505176263344,0.3834944576634023,0.0020842566251523223,-0.0018511920973738995,0.010553876585145828,1.538655021730579e-05,-5.3487891678902656e-05,0.00017669972722738313
3,16210,1786181315.1301372,16181,0.004511594772338867,683.5627690247434,0.009898609973037462,-9.631236455208013e-05,0.0022983905825484504,-0.009627595964559569,-0.2281609693716339,5.82766577325324,-25.4862644976142,1.675134e-07,1.506696e-07,1.362073e-07,1.0675802422444119e-08,4.876237804424933e-09,6.49249216394954e-09,1.781892024224441e-07,1.5554583780442491e-07,1.4269979216394954e-07,-0.0005050207503448105,1.27668672000642e-05,2.7806020022400965e-06,0.05991249484465618,0.031348954394416796,0.045497558491405535,-0.018127544031830766,-0.01879721886055855,-0.018931647026468355,0.10928886756896847,0.00224801827314598,-0.002668341562069901,0.013253995447448506,4.573769131906071e-06,-4.3157876590884346e-05,0.00018225187537386847
4,14489,1786181306.525636,14460,0.005800485610961914,846.3337556100663,0.009748263873170236,0.0010198922552507037,0.002926998136444289,-0.009242356314159678,2.3496268902242226,6.302428088070337,-28.30330964476472,1.779392e-07,2.105979e-07,1.012843e-07,1.0473763344175621e-08,5.09164478893935e-09,5.348538439862214e-09,1.8841296334417562e-07,2.1568954478893936e-07,1.0663283843986222e-07,-0.00043689297661898667,1.737866921689664e-05,-5.322859497073266e-07,0.055589218174273224,0.023606172454405494,0.05015845482028552,-0.016834620523380115,-0.014060719744040044,-0.021055005842893614,0.10089029570189503,0.0009391154275910177,-0.0028539291790875662,0.01294056323063987,-1.4026672962610433e-05,-4.2015645960200975e-05,0.00019462186356196745
5,16190,1786181315.0300841,16161,0.004457950592041016,615.0597443518612,0.009569570038717888,-0.0005950771461125422,0.003198991486199798,-0.008999389278574566,-1.285345877627877,7.6297791897208365,-23.563036534429372,2.034469e-07,1.708896e-07,1.392915e-07,1.0894728022022652e-08,4.90366393216378e-09,6.57768718506252e-09,2.1434162802202265e-07,1.7579326393216377e-07,1.458691871850625e-07,-0.0011410524075749899,3.617712725565083e-06,-1.9684658586190276e-07,0.050827565469040985,0.027893227099979885,0.04509305433291603,-0.015322426586463052,-0.016490062980715155,-0.018785427810889686,0.35202669396103276,0.0020990350614880737,-0.0019030411197705935,0.0107229327956,1.4778436335751398e-05,-5.1849022396693954e-05,0.0001690562104541722
6,14469,1786181306.4256377,14440,0.00576019287109375,812.4183079079361,0.009541641171394227,-0.0006429329427455094,0.004308843384850744,-0.00848901773820776,-1.4265443185321107,9.879254400811629,-26.698630997657656,1.931914e-07,1.85185e-07,9.60768e-08,9.932403778709488e-09,5.042403306847951e-09,5.019880575087258e-09,2.0312380377870948e-07,1.9022740330684796e-07,1.0109668057508725e-07,-0.0011494465386895233,1.0050044207152469e-05,-4.908981218429281e-07,0.048897019080645455,0.026505953124234663,0.049654257061711324,-0.014741955019830907,-0.015538192551635554,-0.02086331636358933,0.43180774177653136,0.0007656523766719695,-0.001889967204017365,0.010380398786530375,1.7638276759720226e-05,-6.576585443058636e-05,0.00017711563959887933
7,16211,1786181315.1356623,16182,0.005525112152099609,623.7367773578492,0.00945647991526332,-0.00012845406906026842,0.002201696130413623,-0.009195708025445464,-0.3043376862671891,5.58253824204348,-24.340921622988667,1.675134e-07,1.506696e-07,1.362073e-07,1.0635958547661662e-08,4.8737128804796755e-09,6.516470688527201e-09,1.7814935854766166e-07,1.5554331288047966e-07,1.427237706885272e-07,-0.00047397095249788004,1.4006433726160714e-05,2.8199384105850263e-06,0.059702268758439696,0.03133325979316815,0.04565792109668258,-0.018067428956112203,-0.018799397662098438,-0.018997745263761898,0.11610367045685423,0.0022529788780044514,-0.0027096627065444348,0.013428678233063776,4.960604858471503e-06,-4.132114447453388e-05,0.00017468278561526968
8,14490,1786181306.5297077,14461,0.004071712493896484,769.6350907238993,0.00930193441335925,0.000997431096595135,0.00283175563073806,-0.008804105581248183,2.298739592757263,6.097471361307045,-26.965873434957484,1.779392e-07,2.105979e-07,1.012843e-07,1.033302530663573e-08,5.0831589275615274e-09,5.3118454007193884e-09,1.8827222530663572e-07,2.1568105892756152e-07,1.0659614540071938e-07,-0.0004073810533947246,1.7301154412549972e-05,-5.312086806904776e-07,0.05488327184677046,0.023567781065653253,0.04983149578632221,-0.01662327510460976,-0.014045086658876653,-0.020916920729877594,0.09258291949210716,0.0009254952542684862,-0.0028944955932937596,0.013124742270328924,-1.362017332253156e-05,-4.056641420619334e-05,0.00018417903968905372
9,19369,1786181330.9256518,19340,0.0058019161224365234,1549.0116660738613,0.009230055556942614,0.0010296053106802015,-0.003623659437295466,0.008426323680643052,4.077455776313475,-11.577983257814603,37.39408194127184,5.791453e-08,9.448351e-08,4.668211e-08,5.847631229037126e-09,3.4720100656896073e-09,4.095297609492412e-09,6.376216122903713e-08,9.79555200656896e-08,5.0777407609492417e-08,0.00020905729064707134,6.996165388154136e-06,1.5581812232029588e-06,0.09171001393829634,0.035444719539388436,0.0806519631445065,-0.028189164304677564,-0.02206770048360621,-0.03414416268908631,0.08732145482343034,-0.00030347873705747585,0.006059036885227673,0.020324216053572854,-2.5969338223008176e-05,8.062761216294945e-05,-0.000287697730195758
10,16191,1786181315.035763,16162,0.005678892135620117,567.7663467374834,0.009193529529518471,-0.000502163247802386,0.003066708474588814,-0.008652405238693449,-1.0844961553790344,7.313900967571223,-22.652038021391327,2.034469e-07,1.708896e-07,1.392915e-07,1.0957560144436589e-08,4.921720358813672e-09,6.6097925468029934e-09,2.1440446014443658e-07,1.7581132035881367e-07,1.4590129254680297e-07,-0.0011004592011510264,6.572198288068633e-06,-1.4276320959675428e-07,0.051105810726357184,0.027993154248677564,0.04530318015286659,-0.015409683091460586,-0.01656446667429597,-0.018870589722664685,0.33030777641287684,0.0021121094616377957,-0.0019530985646276698,0.01088620550056541,1.3074400149722023e-05,-5.005744485707636e-05,0.00016327270496540973
