imu_index,timestamp,dt,pose_index,has_pose_match,update_applied,skip_reason,omega_hat_x,omega_hat_y,omega_hat_z,a_hat_W_x,a_hat_W_y,a_hat_W_z,q_norm,P_min_eigenvalue,P_symmetry_error,r_position_x,r_position_y,r_position_z,r_theta_x,r_theta_y,r_theta_z,position_residual_norm,attitude_residual_norm,NIS,delta_p_x,delta_p_y,delta_p_z,delta_v_x,delta_v_y,delta_v_z,delta_theta_x,delta_theta_y,delta_theta_z,delta_bg_x,delta_bg_y,delta_bg_z,delta_ba_x,delta_ba_y,delta_ba_z
395,1786181236.0552757,nan,366,True,False,initialization_observation_already_used,nan,nan,nan,nan,nan,nan,1.0,1.1012680622796219e-08,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
396,1786181236.0597367,0.004461050033569336,367,True,True,,0.006824686704545455,2.152120707070741e-05,1.6138974747472584e-05,-0.08154498984314207,-0.007117083314199939,-0.011237149426920112,1.0,1.1057234502556183e-08,0.0,8.114120923323476e-07,-1.1929181578482217e-05,-2.5888184927781808e-05,-1.6452440958060035e-05,-1.2553051113148563e-07,1.97643693217965e-06,2.8515993434755378e-05,1.657120618224757e-05,0.001466594422085096,4.3508596956561345e-07,-6.323351473551321e-06,-1.3929436218405315e-05,1.3171789484008863e-05,-0.00016084215424979484,-0.0004417539497064561,-8.242091297073922e-06,-6.280905326140786e-08,9.897239131240283e-07,1.6260092071663055e-08,4.739087300564965e-11,-1.54268954329472e-09,-5.254894149790154e-07,8.047095643236987e-05,7.447702570694853e-07
397,1786181236.0655003,0.005763530731201172,368,True,True,,-0.000632180555546617,2.15211596798345e-05,0.002146671517437016,-0.0072671833016308,-0.02398947577469686,-0.01399169512328946,1.0,1.0722267678710053e-08,0.0,1.5177475649347932e-06,-1.9097376597998483e-05,-4.189137334396388e-05,1.5376816827547935e-05,-1.027133616389137e-05,6.368784908861454e-07,4.6064091342823785e-05,1.850276888878466e-05,0.0032662706736685423,7.453935231624609e-07,-8.973075863791877e-06,-2.0828639863829156e-05,4.493589685269474e-05,-0.0004892299888126807,-0.0012881184676063098,5.166296374193522e-06,-3.4341905001948137e-06,2.1362117441385882e-07,-3.623864262202254e-08,9.282374363548864e-09,-1.1867993591134604e-09,-3.3490208043813974e-05,-4.99969982755774e-05,-6.955609983278599e-07
398,1786181236.0697799,0.004279613494873047,369,True,True,,0.007889970683096005,-0.003174283122694529,0.0032119377042363756,0.08130699824362896,0.02433100891257834,-0.000681404228247473,1.0,1.022006052666226e-08,0.0,2.515174961982211e-06,-1.8837462427361007e-05,-3.9093658595030535e-05,4.185391496898495e-07,-1.3058998209859513e-06,-9.276740456521382e-06,4.346826702476675e-05,9.377551005456318e-06,0.0016658406079150313,1.1528842213954715e-06,-8.237731428138836e-06,-1.8143897216972815e-05,7.272384205199825e-05,-0.0004895936420712824,-0.0011614824425447785,1.0614734629531129e-07,-3.2827264905630767e-07,-2.3453532585146637e-06,-1.331700224812666e-09,1.5985000646470414e-09,2.335113916460359e-08,-3.4003683399778382e-06,-8.59096101561061e-07,-2.7897982191733862e-08
399,1786181236.075496,0.005716085433959961,370,True,True,,0.0036289150147962297,-0.0010437557211945936,-0.001049143646902789,0.08597031917248639,0.033637175997946016,0.003988556165412049,1.0,9.923057801642992e-09,0.0,1.5397741412962601e-06,-1.925821590031615e-05,-3.772352284709844e-05,-8.425953725860188e-06,-1.0103991841130648e-06,-4.920602327479538e-06,4.238294421185192e-05,9.809685518241172e-06,0.0014773015110751463,7.378203681899585e-07,-8.861109112750336e-06,-1.8263029938328957e-05,4.158169770207124e-05,-0.0004845542009684207,-0.001036767061237146,-1.7310345491851778e-06,-2.0419105743251797e-07,-1.0052960405964624e-06,3.832299193153914e-08,1.77761264802221e-09,1.7741192824666726e-08,-2.0597815830452218e-06,1.63085871488255e-05,1.4366716145538435e-07
400,1786181236.0796475,0.004151582717895508,371,True,True,,0.001498347691804298,-0.0010437574988072418,0.0010813656119043856,0.006739248153969275,0.001762797291715456,-0.02870469446600943,1.0,9.529538319177392e-09,0.0,1.2274834261891826e-06,-1.4193918808358408e-05,-2.7444836127122132e-05,-6.944980695654572e-06,-2.5092800409533782e-06,-2.411763658738656e-06,3.092237178394354e-05,7.768258951177806e-06,0.0009113723546109196,5.254353842601e-07,-5.898156363574675e-06,-1.1834745742252944e-05,2.657348189186156e-05,-0.0002925473523664035,-0.0006013028572469592,-1.200938038436779e-06,-4.2424961766496157e-07,-4.139026248200797e-07,3.67500007306612e-08,5.161457550086218e-09,1.0132011201679307e-08,-4.101524132195084e-06,1.1098661094130064e-05,8.060862024348979e-08
401,1786181236.0854971,0.005849599838256836,372,True,True,,0.0014983109418035675,-0.0021090256602647917,0.0021466214798931856,-0.04829945906208831,-0.005552753402850755,-0.018678381974766012,1.0,9.274716267042071e-09,0.0,6.636822231370632e-07,-1.2770559367887568e-05,-2.3449452883744434e-05,-2.0494715930682418e-05,1.0279171471923167e-05,-1.85752753675436e-05,2.670963311633088e-05,2.95082293980618e-05,0.00853721728684276,2.828587860269565e-07,-5.324487427250272e-06,-1.0046957478651813e-05,1.224399758518097e-05,-0.00022780045770855685,-0.0004359012015041628,-3.0976655568015706e-06,1.5013142061500157e-06,-2.7755532437969056e-06,1.3743754454098205e-07,-2.6944911418798783e-08,9.905219951685249e-08,1.397550403425776e-05,2.790409407536989e-05,3.636834647240751e-07
402,1786181236.089671,0.004173755645751953,373,True,True,,-0.0027628844957409736,0.0021520592846466266,-0.0021145355723063315,-0.04085265341222562,-0.0002963456253710937,0.038704023799439824,1.0,8.186216138152648e-09,0.0,1.107253867040428e-06,-9.915071166578804e-06,-1.7599319074622713e-05,-3.834956448265487e-06,1.8296891944387063e-06,-1.4957927402103411e-05,2.0230439423175592e-05,1.5549734585353374e-05,0.0028766303240885084,4.156798172804547e-07,-3.663754218969243e-06,-6.631970070164598e-06,1.6222638695135925e-05,-0.00014181066729677613,-0.0002592588822205387,-5.141112883136876e-07,2.351214512999898e-07,-1.9772578576511223e-06,2.8452172975036478e-08,-5.338170629135597e-09,8.841490097399949e-08,2.0371909568365378e-06,4.615145020359121e-06,6.340947934451146e-08
403,1786181236.095496,0.005825042724609375,374,True,True,,0.0036286740520860513,-0.001043730377182744,-0.001049358987207304,-0.01481396647037788,-0.012655197655998736,-0.023633503652716215,1.0,7.367483558608564e-09,0.0,5.675755647537722e-07,-9.30078885998456e-06,-1.5097398248563841e-05,-2.447475456009402e-05,5.655801999479176e-06,-2.877397911310358e-06,1.7741427488098497e-05,2.5284009289947843e-05,0.005128777687739397,2.072685363254099e-07,-3.355884262908322e-06,-5.5281071274799295e-06,7.082901810547571e-06,-0.00011395960982960872,-0.00018900428866880763,-2.9906015269005896e-06,6.527343583094106e-07,-3.450040382668952e-07,2.1530941394255243e-07,-1.968519197932046e-08,2.020305999801426e-08,5.996017408863238e-06,2.5177725755688816e-05,2.831310289008992e-07
404,1786181236.0998778,0.004381895065307617,375,True,True,,-0.002763128257327891,2.1555308009235663e-05,0.0032116788097326966,0.02597023425611548,-0.03420633305085462,-0.01413697210981013,1.0,6.692458763924477e-09,0.0,4.23475274156232e-07,-7.213587748196304e-06,-1.2329545797140282e-05,-1.5362497283361255e-05,4.9360000005038e-06,-2.0626201759817937e-05,1.4291006929972747e-05,2.6187986135305862e-05,0.007138489074877347,1.3856057858583848e-07,-2.3387719069872435e-06,-4.041761355422626e-06,4.322694422002044e-06,-7.256922453389782e-05,-0.00012607302458751072,-1.7198580242139993e-06,5.165864319418494e-07,-2.2586101129186302e-06,1.4673837990412326e-07,-1.878076151185791e-08,1.575751901354214e-07,4.529790069463093e-06,1.4150282480262414e-05,1.6997784696297094e-07
