imu_index,timestamp,dt,pose_index,has_pose_match,update_applied,skip_reason,omega_hat_x,omega_hat_y,omega_hat_z,q_norm,P_theta_x,P_theta_y,P_theta_z,P_bg_x,P_bg_y,P_bg_z,P_min_eigenvalue,P_symmetry_error,r_theta_x,r_theta_y,r_theta_z,residual_norm,R_x,R_y,R_z,NIS,delta_theta_x,delta_theta_y,delta_theta_z,delta_bg_x,delta_bg_y,delta_bg_z,K_theta_x,K_theta_y,K_theta_z,K_bg_x,K_bg_y,K_bg_z
395,1786181236.0552757,nan,366,True,False,initialization_observation_already_used,nan,nan,nan,1.0,1.18334e-07,6.502069e-08,7.693185e-08,5.253319298263292e-08,1.1012680622800444e-08,2.6962288990570124e-08,1.1012680622800444e-08,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
396,1786181236.0597367,0.004461050033569336,367,True,True,,0.006824686704545455,2.152120707070741e-05,1.6138974747472584e-05,1.0,5.92811508798884e-08,3.253430337461722e-08,3.852453595440653e-08,5.257757186963877e-08,1.1057272576782435e-08,2.700680560740164e-08,1.105724452340599e-08,0.0,-1.6452440958060035e-05,-1.2553051113148563e-07,1.97643693217965e-06,1.657120618224757e-05,1.18334e-07,6.502069e-08,7.693185e-08,0.001166987661232158,-8.242091297073923e-06,-6.280905326140786e-08,9.897239131240283e-07,1.6260092071663055e-08,4.739087300564965e-11,-1.5426895432947197e-09,0.5009646498882931,0.5003684730920731,0.5007618555007903,-0.0009883087901102104,-0.0003775099470799822,-0.0007805404917732964
397,1786181236.0655003,0.005763530731201172,368,True,True,,-0.000632180555546617,2.15211596798345e-05,0.002146671517437016,1.0,3.9757621098211246e-08,2.173934355657886e-08,2.5804716879131122e-08,5.263421740233865e-08,1.1114828108148805e-08,2.7064038983836258e-08,1.1114503132882904e-08,0.0,1.5376816827547935e-05,-1.027133616389137e-05,6.368784908861454e-07,1.850276888878466e-05,1.18334e-07,6.502069e-08,7.693185e-08,0.0024103677288032335,5.166296330696844e-06,-3.4341897028429352e-06,2.1362083162697561e-07,-3.623864290618531e-08,9.282376351131883e-09,-1.1868011266840976e-09,0.3359780037703709,0.33434501473720457,0.33542306442616004,-0.0023567017015921087,-0.0009037218609224784,-0.0018633533988840943
398,1786181236.0697799,0.004279613494873047,369,True,True,,0.00788997068309629,-0.0031742831226965165,0.0032119377042381415,1.0,3.000570926027386e-08,1.6344042799351852e-08,1.944995833136691e-08,5.267541040505278e-08,1.1157494073050488e-08,2.7106182733114033e-08,1.1156272692508374e-08,0.0,4.1853919318324475e-07,-1.3059006183160945e-06,-9.27674011371327e-06,9.377550779309368e-06,1.18334e-07,6.502069e-08,7.693185e-08,0.0008565533894197782,1.0614690961252619e-07,-3.2827213462265553e-07,-2.345353522714306e-06,-1.3313175736627471e-09,1.5985168856514166e-09,2.335113658445685e-08,0.25356794547435785,0.2513668003189086,0.25282062411520245,-0.003179984780352487,-0.0012242335730683423,-0.002517164258275362
399,1786181236.075496,0.005716085433959961,370,True,True,,0.0036289150144138624,-0.0010437557212134023,-0.0010491436468984417,1.0,2.4310763439831164e-08,1.3139941899149118e-08,1.5717548812697776e-08,5.2729490177504144e-08,1.1214402656983723e-08,2.716208676543753e-08,1.1207629436972978e-08,0.0,-8.425953243486658e-06,-1.0104004957550946e-06,-4.920601720478204e-06,9.809684934533756e-06,1.18334e-07,6.502069e-08,7.693185e-08,0.0007396637940040346,-1.7310353086391624e-06,-2.0419114768325522e-07,-1.0052960342985606e-06,3.8324496782385856e-08,1.777648724896711e-09,1.7741191298160046e-08,0.20544191390277114,0.20208862593408053,0.20430483359610127,-0.004548410713921593,-0.0017594814572521411,-0.0036054307764580764
400,1786181236.0796475,0.004151582717895508,371,True,True,,0.0014983476899170802,-0.0010437574988621271,0.0010813656119102594,1.0,2.0462648911051436e-08,1.0993268882330435e-08,1.3203005045463591e-08,5.2766999259599394e-08,1.1255587392536519e-08,2.7201963662462336e-08,1.093710281075921e-08,0.0,-6.944979445996715e-06,-2.5092812621168535e-06,-2.4117630580605052e-06,7.76825804192632e-06,1.18334e-07,6.502069e-08,7.693185e-08,0.00048021288978312613,-1.2009388089793827e-06,-4.242501321309896e-07,-4.139023991645626e-07,3.6752197238085785e-08,5.161509872089842e-09,1.0132013334766851e-08,0.17292281940152082,0.1690733962136476,0.1716194923860476,-0.005291930149658356,-0.0020569779838006193,-0.00420089735649998
401,1786181236.0854971,0.005849599838256836,372,True,True,,0.0014983109377198422,-0.0021090256603719993,0.0021466214798969256,1.0,1.7885619188647816e-08,9.496475526592651e-09,1.1495451309888641e-08,5.281922570461389e-08,1.1313560220778436e-08,2.72578877986291e-08,9.480627363291583e-09,0.0,-2.0494713886597823e-05,1.0279170765845941e-05,-1.857527499255431e-05,2.9508227496343133e-05,1.18334e-07,6.502069e-08,7.693185e-08,0.008215617899105864,-3.0976671430503704e-06,1.5013136058862642e-06,-2.7755529635792565e-06,1.3744159358517266e-07,-2.6944857010531142e-08,9.905221056634302e-08,0.15114522612268622,0.14605313365878217,0.14942382524079775,-0.006706257528906174,-0.0026212661069429702,-0.005332457069168764
402,1786181236.089671,0.004173755645751953,373,True,True,,-0.002762884503873743,0.0021520592844850106,-0.0021145355723136416,0.9999999999999999,1.5864155689297815e-08,8.355551283390246e-09,1.0169478212181777e-08,5.285343870280808e-08,1.1354662802629139e-08,2.7296528022339933e-08,8.343601699719606e-09,0.0,-3.8349527839941355e-06,1.8296890893502644e-06,-1.4957927307267251e-05,1.5549733578059886e-05,1.18334e-07,6.502069e-08,7.693185e-08,0.0026763356607743985,-5.141131377516677e-07,2.351211137384286e-07,-1.9772577202073893e-06,2.8456813426766765e-08,-5.338041827701199e-09,8.841492050097781e-08,0.13406253223235864,0.12850603836229216,0.1321881407008664,-0.007420428722310139,-0.0029173234509734147,-0.005910900303853098
403,1786181236.095496,0.005825042724609375,374,True,True,,0.00362867403931283,-0.0010437303774731613,-0.0010493589872341402,1.0,1.4459417568079912e-08,7.504052550616488e-09,9.22476506535364e-09,5.2901255578842845e-08,1.1412022828660497e-08,2.735046931028794e-08,7.490991474169517e-09,0.0,-2.4474748971978173e-05,5.6558022336674985e-06,-2.877397953783924e-06,2.5284003937907953e-05,1.18334e-07,6.502069e-08,7.693185e-08,0.004973422602594469,-2.9906048784022944e-06,6.527342022592473e-07,-3.4500399239899345e-07,2.1531673054978311e-07,-1.9685085486405505e-08,2.0203092714106434e-08,0.12219157273508274,0.11541022635655508,0.1199082703095893,-0.008797538506865418,-0.003480471180891251,-0.007021116002614135
404,1786181236.0998778,0.004381895065307617,375,True,True,,-0.002763128277417719,2.1555307612325294e-05,0.003211678809673147,1.0,1.324780086981185e-08,6.804828453835647e-09,8.424224722603075e-09,5.29329158917606e-08,1.145479047606736e-08,2.738924621300805e-08,6.791703558227531e-09,0.0,-1.5362488255711757e-05,4.93600039244341e-06,-2.0626201847879874e-05,2.6187980982705907e-05,1.18334e-07,6.502069e-08,7.693185e-08,0.007031160895050272,-1.7198613518432509e-06,5.165863737013012e-07,-2.258610122601952e-06,1.467459827631004e-07,-1.878065489411247e-08,1.5757522487016242e-07,0.11195261606647396,0.10465635560035186,0.10950243264112222,-0.009552251678484027,-0.0038048110418098433,-0.00763953219795283
